Side,Expiration,Asset,Closing time,Trade amount,Profit,Payout,Result,ChannelID,ChannelName
CALL,M2,USD/ARS OTC,2026-05-20 13:15:30,1.00,-1.00,+92%,LOSS,-1003340938354,Test Signal - Liastar
CALL,M2,USD/ARS OTC,2026-05-20 13:18:12,2.15,-2.15,+92%,LOSS,-1003340938354,Test Signal - Liastar
